id,Name,titleProject_id,class,score,login,password
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,yHtwq0oq
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,V2bqplgX
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,bToJxZ1B
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА,YLsWGbxz
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН,nhMx9bo4
328,Незлина Жанна Василевна,426,8б,5,Незлина_ЖВ,0eIKAaG8
329,Федичева Вероника Кирилловна,37,7х,4,Федичева_ВК,IQ7pJ2js
330,Пустынкин Вадим Антонович,388,10в,5,Пустынкин_ВА,ac69OZ9Q
331,Аринакова Ирина Михайловна,150,8в,5,Аринакова_ИМ,qzUjayaa
332,Обиралкова Мария Егоровна,294,11т,5,Обиралкова_МЕ,hcbAFNUf
333,Аристарова Валентина Максимовна,443,11г,2,Аристарова_ВМ,x6EPtzCD
334,Яуров Герасим Юрьевич,38,9а,5,Яуров_ГЮ,Y3nAY0hh
335,Духонькин Вячеслав Фёдорович,2,9в,4,Духонькин_ВФ,MvBP689k
336,Гвасков Евгений Михаилович,402,9в,5,Гвасков_ЕМ,tphPLK99
337,Жабынина Галина Николаевна,185,7х,5,Жабынина_ГН,AfqAyxwR
338,Шерюкова Виолетта Романовна,440,9б,4,Шерюкова_ВР,0IGU0bNO
339,Колокатов Пётр Евгеньевич,484,10в,3,Колокатов_ПЕ,smbXnXfz
340,Шайдуков Андрей Михаилович,317,9и,4,Шайдуков_АМ,GO54gnW3
341,Смирнягина Дарья Игоревна,425,10в,4,Смирнягина_ДИ,kkf5wFm2
342,Штырева Ева Олеговна,258,11и,2,Штырева_ЕО,Z93Ijqub
343,Ашукин Вячеслав Михаилович,191,10т,4,Ашукин_ВМ,sulmRKeE
344,Рубченкова Галина Алексеевна,190,9в,3,Рубченкова_ГА,ps8n50jV
345,Зархин Иван Алексиевич,478,11и,5,Зархин_ИА,CPuCul62
346,Адиотов Дмитрий Павлович,156,7б,3,Адиотов_ДП,dJ0QYSHo
347,Тищенкова Раиса Валерьевна,79,7д,3,Тищенкова_РВ,NRbyoOpB
348,Лозеев Илья Петрович,205,10д,2,Лозеев_ИП,Ppe8tWgC
349,Кобяшов Герасим Михаилович,305,11т,2,Кобяшов_ГМ,gv9zkIBO
350,Ронова Клавдия Валерьевна,107,7и,4,Ронова_КВ,k5SeIxVU
351,Стрижнов Алексей Евгеньевич,385,11г,3,Стрижнов_АЕ,xoUHOwUF
352,Волынский Алексей Виталиевич,362,11т,5,Волынский_АВ,2PUWGE3w
353,Машонский Василий Данилович,23,9д,5,Машонский_ВД,7wmAF3WI
354,Буриева Зинаида Аркадьевна,104,11д,4,Буриева_ЗА,IFjprLl8
355,Борщина Алёна Ивановна,377,11а,5,Борщина_АИ,UjVGVC3q
356,Белчков Олег Иванович,275,10а,4,Белчков_ОИ,qvZWICvr
357,Остропиков Альберт Данилович,157,8г,2,Остропиков_АД,WIEDLhlB
358,Оргонова Любовь Максимовна,264,7б,4,Оргонова_ЛМ,pQZG6OaR
359,Мальков Юрий Евгеньевич,228,7г,3,Мальков_ЮЕ,2kpBtto5
360,Свльхова Наталья Вадимовна,160,9т,5,Свльхова_НВ,DAJvcsfj
361,Мякушков Герасим Леонидович,102,10т,3,Мякушков_ГЛ,JHm5tHDg
362,Межуев Георгий Юриевич,355,8г,4,Межуев_ГЮ,fvKHyfuK
363,Чериншев Александр Сергеевич,439,8а,2,Чериншев_АС,JDUrwaXi
364,Муниров Алексей Андреевич,117,11г,3,Муниров_АА,3BhHWayd
365,Климухин Руслан Романович,269,10в,3,Климухин_РР,jrTMV499
366,Дембская Екатерина Никитична,64,11б,4,Дембская_ЕН,imEVM2Zs
367,Тюнеев Яков Фёдорович,417,10т,2,Тюнеев_ЯФ,PTnsvScC
368,Трушитин Антон Данилович,168,9х,3,Трушитин_АД,DTUytbJa
369,Балакишиев Роман Алексиевич,143,11х,5,Балакишиев_РА,1k90zPPs
370,Немтюрева Валерия Аркадьевна,12,10г,4,Немтюрева_ВА,FbjOINSP
371,Складанова Клавдия Аркадьевна,257,9а,3,Складанова_КА,lyXRGq0K
372,Заходина Полина Леонидовна,93,10д,4,Заходина_ПЛ,zeEsUUV3
373,Муринов Анатолий Борисович,171,11б,5,Муринов_АБ,XvHTVdPm
374,Гришалова Любовь Евгеньевна,301,8т,3,Гришалова_ЛЕ,PYTbaao0
375,Ситчихин Станислав Георгиевич,247,8т,5,Ситчихин_СГ,2qnhcSL8
376,Просяных Георгий Василиевич,366,9в,2,Просяных_ГВ,7QWGd1bq
377,Дзабиев Григорий Георгиевич,259,11д,5,Дзабиев_ГГ,M6D9Z5YH
378,Рыбаулин Григорий Алексеевич,140,11а,5,Рыбаулин_ГА,8mQ4UlV2
379,Тупиева Екатерина Ивановна,400,7д,2,Тупиева_ЕИ,BkRSO1W3
380,Куверчева Алена Ивановна,170,10д,3,Куверчева_АИ,OhJllCHK
381,Цаблинова Виктория Богдановна,342,9г,4,Цаблинова_ВБ,6wqP20ov
382,Синенков Григорий Леонидович,230,9в,5,Синенков_ГЛ,nZM2C5T7
383,Лизункин Артур Олегович,4,11в,5,Лизункин_АО,ZbqQSjPQ
384,Славущева Александра Эдуардовна,81,8а,5,Славущева_АЭ,L3TMUD7T
385,Шахвердов Дмитрий Антонович,132,11б,2,Шахвердов_ДА,BzGhZZvX
386,Рапацкая Ольга Ивановна,223,10г,3,Рапацкая_ОИ,GLh9S9qm
387,Сторокожев Виталий Аркадиевич,159,9б,2,Сторокожев_ВА,LzwmCmce
388,Половодов Кирилл Николаевич,18,8т,5,Половодов_КН,8mjLu24h
389,Халтанова Алена Дмитриевна,49,8б,3,Халтанова_АД,l6lYTuIc
390,Заложнев Роман Фёдорович,448,8в,4,Заложнев_РФ,6aYqdXmu
391,Рыжих Кристина Аркадьевна,213,7а,4,Рыжих_КА,bWPH4cku
392,Буров Руслан Игоревич,405,11и,5,Буров_РИ,WYJ8d63f
393,Гачков Виталий Евгеньевич,277,9т,4,Гачков_ВЕ,icsoRbnQ
394,Кадилов Геннадий Борисович,225,10в,3,Кадилов_ГБ,FMw5mIzY
395,Гликина Алёна Эдуардовна,454,9б,3,Гликина_АЭ,QERSnGIU
396,Ичкинина Любовь Андреевна,299,8г,5,Ичкинина_ЛА,YiQE7DSV
397,Мозшорина Кира Дмитриевна,65,8б,3,Мозшорина_КД,TusENyet
398,Брижеватов Константин Борисович,152,11т,2,Брижеватов_КБ,abOxEKPq
399,Бучеров Тарас Викторович,429,10д,4,Бучеров_ТВ,BSGdSSy5
400,Мисютина Валерия Эдуардовна,368,9г,2,Мисютина_ВЭ,1lZyaTcl
401,Льянов Федор Вадимович,328,8а,4,Льянов_ФВ,UuTAeS8O
402,Щуркин Георгий Яковлевич,180,8в,4,Щуркин_ГЯ,6vlpbGAJ
403,Акулин Федор Адамович,241,10г,4,Акулин_ФА,B5CwDCx8
404,Волженкова Екатерина Ивановна,233,9д,4,Волженкова_ЕИ,lEao4WGN
405,Махометова София Викторовна,424,8и,3,Махометова_СВ,Chao8PV4
406,Зызлов Геннадий Антонович,274,7в,3,Зызлов_ГА,owZ1augw
407,Девляшова Кира Олеговна,51,11д,5,Девляшова_КО,Btcp35jJ
408,Яковкина Алена Никитична,320,9т,5,Яковкина_АН,sOwk3fan
409,Бузулев Вадим Николаевич,331,10д,3,Бузулев_ВН,u07s89EA
410,Ганельский Юрий Юриевич,474,9д,3,Ганельский_ЮЮ,h12ane30
411,Шкапрова Ева Ивановна,371,7б,5,Шкапрова_ЕИ,XGw0uMk2
412,Чичирин Владимир Георгиевич,11,10а,4,Чичирин_ВГ,DS8F5PLm
413,Шилова Надежда Викторовна,124,9б,2,Шилова_НВ,rD5ZV0Wx
414,Коваев Руслан Михаилович,487,9т,3,Коваев_РМ,V7zEHioe
415,Саверина Надежда Андреевна,407,11б,4,Саверина_НА,WaRjvFHm
416,Тишанкин Олег Адамович,334,9д,3,Тишанкин_ОА,eJmSsPe6
417,Широпаев Валерий Сергеевич,406,9б,2,Широпаев_ВС,jvGDUawT
418,Щепанин Олег Адамович,226,7а,3,Щепанин_ОА,Nh5YiRS3
419,Оплетин Владислав Аркадиевич,361,10х,4,Оплетин_ВА,qZLfdSlo
420,Оденова Карина Андреевна,409,8и,4,Оденова_КА,rhafgyTD
421,Семагин Альберт Андреевич,456,10х,4,Семагин_АА,9527UYjJ
422,Черданцева Анастасия Олеговна,128,8х,3,Черданцева_АО,1CbcfSKc
423,Лонцова Елизавета Эдуардовна,224,7х,3,Лонцова_ЕЭ,EaZnbxVJ
424,Сарсекеева Алёна Никитична,462,11и,4,Сарсекеева_АН,mQXN8d0J
425,Аковецкий Антон Евгеньевич,500,8б,4,Аковецкий_АЕ,1EhssLZz
426,Аратский Станислав Борисович,351,9и,2,Аратский_СБ,twZw81Ow
427,Чужриков Пётр Денисович,200,9в,3,Чужриков_ПД,gLrtXztG
428,Никитшин Алексей Кириллович,111,11и,3,Никитшин_АК,4owyVX5Y
429,Симендяев Василий Алексиевич,45,8д,4,Симендяев_ВА,Xkvqf8fA
430,Ошитков Максим Сергеевич,151,10г,4,Ошитков_МС,x6coYO2F
431,Юрасов Евгений Романович,338,9и,3,Юрасов_ЕР,pCGxSDYw
432,Головяшин Павел Юриевич,179,7г,5,Головяшин_ПЮ,PIoJvfmf
433,Манжурина Екатерина Сергеевна,219,7т,3,Манжурина_ЕС,ngQELT6E
434,Никурашин Олег Евгеньевич,291,11х,2,Никурашин_ОЕ,gU3BsaZU
435,Бехтерев Федор Вадимович,137,9х,3,Бехтерев_ФВ,nOwnT4AZ
436,Годлевская Катерина Дмитриевна,403,11г,3,Годлевская_КД,xcdVyvE1
437,Акиярова Алина Эдуардовна,9,11а,4,Акиярова_АЭ,2ZtdDOJo
438,Милина Алена Петровна,359,8г,3,Милина_АП,pHSFlwhz
439,Воловин Борис Викторович,350,7т,2,Воловин_БВ,gP5o0gpv
440,Туморина Ксения Федоровна,133,8б,5,Туморина_КФ,7t9yhof1
441,Желейков Вячеслав Яковлевич,199,8г,3,Желейков_ВЯ,ph8LadH0
442,Шишорнина Екатерина Алексеевна,183,8т,3,Шишорнина_ЕА,OPXh6eKm
443,Юумогулова Виолетта Игоревна,311,10х,3,Юумогулова_ВИ,3ZF4StUg
444,Рецков Денис Денисович,85,10д,2,Рецков_ДД,U40GNirr
445,Химунина Елизавета Ивановна,392,7д,2,Химунина_ЕИ,lk1gZNLA
446,Кобрянов Александр Алексиевич,455,7т,2,Кобрянов_АА,jzd2TTrM
447,Бирылов Тарас Данилович,243,11а,3,Бирылов_ТД,kwqcATwD
448,Туфатулин Ярослав Леонидович,485,8х,4,Туфатулин_ЯЛ,Xog3fkof
449,Долбишев Николай Аркадиевич,292,10б,5,Долбишев_НА,ozxMIpuY
450,Махтумова Алёна Эдуардовна,186,10б,4,Махтумова_АЭ,JRQY7dW5
451,Нарзаркин Алексей Романович,423,10т,2,Нарзаркин_АР,FHV8iKLq
452,Куранина Алена Леонидовна,196,9б,4,Куранина_АЛ,GJN84ajR
453,Ситюков Аркадий Евгеньевич,32,10в,3,Ситюков_АЕ,oyWwmfr8
454,Мизюрова Алиса Никитична,176,7г,4,Мизюрова_АН,T8HNfDOj
455,Пандурова Алиса Дмитриевна,130,9б,2,Пандурова_АД,Z9tzymKe
456,Жилейкин Борис Тимофеевич,91,7в,2,Жилейкин_БТ,Ei4JdKym
457,Корпункова Виолетта Сергеевна,83,11а,3,Корпункова_ВС,YNZfZx4R
458,Пашохонова Анастасия Федоровна,467,9в,4,Пашохонова_АФ,lkKEVAsI
459,Сузальцева Тамара Михайловна,357,8х,4,Сузальцева_ТМ,OgsZX64h
460,Чиличкина Светлана Яковлевна,5,8в,5,Чиличкина_СЯ,stOxfgxJ
461,Шантыкова Карина Максимовна,198,10д,3,Шантыкова_КМ,zgCH5OEg
462,Недосекин Владислав Яковлевич,457,10а,4,Недосекин_ВЯ,JCrYlhYk
463,Максимкин Федор Фёдорович,172,10г,2,Максимкин_ФФ,OmbgVaAO
464,Матбиюшина Виктория Игоревна,237,8д,2,Матбиюшина_ВИ,uT4MtBg3
465,Шишкунов Герасим Юрьевич,110,8т,4,Шишкунов_ГЮ,qfHlULmZ
466,Сухинин Георгий Алексиевич,475,10х,4,Сухинин_ГА,9XyaYItA
467,Бисеева Полина Романовна,48,7д,5,Бисеева_ПР,tf27Fa3P
468,Жукулов Михаил Денисович,60,11г,3,Жукулов_МД,hD3BdoPT
469,Тоняев Герасим Петрович,378,9т,5,Тоняев_ГП,o7IcwtPV
470,Шушенкова Алёна Олеговна,36,7и,2,Шушенкова_АО,AlmXrnX8
471,Разроев Дмитрий Павлович,59,9а,2,Разроев_ДП,iMos0h9P
472,Баззаев Анатолий Данилович,339,9д,2,Баззаев_АД,NBERpucZ
473,Цекова Алла Олеговна,50,8д,2,Цекова_АО,KZOZjm60
474,Аборонова Алиса Алексеевна,444,7г,5,Аборонова_АА,nsRzjOHc
475,Ягловская Ева Олеговна,181,8в,4,Ягловская_ЕО,DVHl1A2a
476,Шароварова Яна Романовна,175,8а,4,Шароварова_ЯР,B08Htp7e
477,Общев Яков Викторович,466,8а,4,Общев_ЯВ,DSrSn3WL
478,Ойзерская Катерина Эдуардовна,120,7х,2,Ойзерская_КЭ,NLuuW2J1
479,Прусский Ярослав Иванович,479,11б,2,Прусский_ЯИ,vHE9QBSe
480,Лабинов Павел Алексеевич,272,7б,5,Лабинов_ПА,TKb4g3Dr
481,Покровов Эдуард Павлович,312,8б,2,Покровов_ЭП,WnHcStfu
482,Мачехин Эдуард Данилович,19,7д,3,Мачехин_ЭД,A8cjRLO2
483,Кодорская Раиса Ивановна,27,11б,3,Кодорская_РИ,O4uLndv7
484,Кондраева Марина Ивановна,469,9д,3,Кондраева_МИ,HAQ8dT2y
485,Бульенков Валентин Иванович,136,10т,4,Бульенков_ВИ,90A7361y
486,Тагакова Вероника Яковлевна,393,8т,4,Тагакова_ВЯ,LI78nAv4
487,Гершанова Любовь Евгеньевна,383,11т,5,Гершанова_ЛЕ,xVDivVhZ
488,Салина Алена Егоровна,73,11в,5,Салина_АЕ,L4YnvPNq
489,Фрумова Зинаида Аркадьевна,78,8а,4,Фрумова_ЗА,reFVipmQ
490,Хорняков Борис Борисович,13,8г,2,Хорняков_ББ,BMSXqlum
491,Гдагазина Лиза Василевна,212,9т,5,Гдагазина_ЛВ,yjBR1L1h
492,Агаршев Ярослав Михаилович,276,9т,2,Агаршев_ЯМ,y6cUAOwc
493,Корюшин Пётр Антонович,326,8х,2,Корюшин_ПА,ajQVkrFO
494,Калаев Пётр Алексиевич,68,8а,3,Калаев_ПА,wt0XNdK4
495,Ккаталкина Виолетта Егоровна,53,7б,2,Ккаталкина_ВЕ,hC0v7TfZ
496,Рачнов Герасим Алексеевич,103,10а,5,Рачнов_ГА,Njb3MLA3
497,Миндубаева Людмила Леонидовна,477,11и,2,Миндубаева_ЛЛ,lYyYC9BA
498,Агафьева Вера Ивановна,352,11х,3,Агафьева_ВИ,JsiQQKTw
499,Житин Эдуард Адамович,481,9а,5,Житин_ЭА,mytXlpPh
